@relation master

@attribute 'First Name' {Jahlil,Myles,Joshua,Karl,Stanley,Justise,Trey,Ben,Jaylen,Marquese,Zion,Jalen,Jamison,Manny,Onyeka,Akok,Isaiah,Trayce,Precious,Dangelo,Devin,Brandon,Jamal,Anthony,Kihei,Caleb,Max,Keaston,Tyger,Carlos,Talon,Yuri,Nico,Jordan,Carsen,Kevin,Juan,Kris,Darius,Chris,Lonny,David,Preston,Troy,Udonis,Tony,Stromile,Vincent,Tayshaun,Jules,Josh,Travis,Jay,Brian,Lavell,Gary,Matt,Rod,Larry,Marcus,Bernard,Jitim,Julius,Bryant,Mike,Andre,Marquis,Kyle,Daniel,Bj,Jawad,Michael,Terence,Vedran,Ricky,Hakim,Ryan,Chuck,Jj,Nik,Justin,Rashad,Eric,Shelden,Jeff,Greg,Maurice,Adam,Paul,Dee,Alando,Carl,Curtis,Craig,Randy,Allan,Gerry,Julian,Jr,Al,Dion,Quincy,Renaldo,Jermareo,James,Cliff,Jack,Toney,Sean,Drew,Geary,Glen,Randolph,Charles,Joakim,Darian,Steven,Kc,Ad,Tyrese,Tyler,Jamelle,Terrence,Sharaud,Wesley,Dominic,Sam,Jerel,Garrett,Richard,Korvotney,Deon,Jon,Wayne,Trevor,Greivis,Deshawn,Raymar,Eugene,Jerome,Lazar,Deonta,Dasean,Scottie,Luke,Albert,Perry,Jarvis,Malcolm,Nolan,Evan,Demetri,Robbie,Jajuan,Kalin,Etwaun,Talor,Marshon,Corey,Austin,Dominique,Jeremy,Delvon,Alex,Aj,Patrick,Draymond,William,John,Darryl,Ashton,Kemba,Terrance,Storm,Festus,Jamychal,Mason,Durand,Erick,Tim,Christian,Kenny,Reginald,Joe,Keith,Deshaun,Roy,Dj,Edwin,Cleveland,Bryce,Donte,Patric,Quinn,Tre,Aaron,Darrun,Jayvaughn,Ladontae,Hunter,Tj,Olivier,Brice,Shavon,Denzel,Kellen,Dvauntes,Gavin,Nerlens,Asauhn,Laimonas,Armani,Willie,Jamel,Kennedy,Jaron,Peter,Zak,Nigel,Billy,Bobby,Sebastian,Damian,Jimmie,Moses,Grayson,Bonzie,Joel,Jaesean,Isaac,Shep,Vince,Melo,Nate,Phil,Angel,Desi,Khadeen,Kelan,Trevon,Yante,Glynn,Ethan,Eli,Jessie,Derek,Horace,Aric,Kevarrius,Donta,Tyus,Ky,Cassius,Lamar,Alpha,Shamorie,Kamar,Markus,Adrio,Clevon,Robert,Grant,Anfernee,Luka,Nicolas,Abdul,Doug,Frank,Casey,Nick,Dan,Sherron,Dejuan,Andrew,Shane,Emeka,Ty,Jameer,Carmelo,Dwyane,Blake,Stephen,Jason,Kawhi}
@attribute 'Last Name' {Okafor,Turner,Morgan,Anthony,Johnson,Winslow,Lyles,Simmons,Brown,Chriss,Williamson,Smith,Battle,Bates,Okongwu,Akok,Stewart,Jackson,Achiuwa,Russell,Booker,Ingram,Murray,Cowan,Clark,Hunter,Edwards,Abmas,Willis,Campbell,Paez,Cooper,Collins,Mannion,Lyons,Durant,Dixon,Lang,Grundy,Songaila,Williams,Baxter,Braswell,Graves,Shumpert,Murphy,Haslem,Kitchings,Swift,Yarbrough,Prince,Camara,Howard,Boozer,Watson,Cook,Blanchard,Buchanan,Carroll,Bell,Grizzard,Satchell,Haislip,Robinson,Young,Page,Matthews,Sweetney,Barrett,Rice,Daniels,Estill,Davis,Ewing,Elder,Hodge,Wilkinson,Hill,Dials,Vukusic,Shields,Gordon,Warrick,Gomes,Thomas,Crump,Lee,Hayes,Redick,Caner,Gray,Mccants,Horner,Brunner,Ager,Haluska,Horton,Tucker,Bowman,Krauser,Sumpter,Pittsnogle,Foye,Ray,Mcnamara,Terrell,Reynolds,Thornton,Harris,Douby,Bass,Balkman,Davidson,Wallace,Gist,Hammonds,Mcclinton,Douglas,Singletary,Neitzel,Claxton,Morris,Rhodes,Noah,Horford,Townes,Rivers,Vassallo,Hansbrough,Cornley,Adrien,Curry,Devendorf,James,Mcneal,Temple,Hendrix,Barber,Thompson,Scheyer,Ellington,Vasquez,Sims,Harvey,Dyson,Hayward,Vaughn,Butler,Harangody,Washington,Chism,Stevenson,Varnado,Scott,Delaney,Allen,Singler,Diebler,Mccamey,Hummel,Lucas,Moore,Brooks,Fisher,Freeman,Jones,Hazell,Tyus,Ogilvy,Patterson,Muldrow,Zeller,Green,Taylor,Gatens,Buford,Shurna,Bryant,Gibbs,Walker,Miller,Henry,Thompkins,Warren,Ezeli,Snaer,Plumlee,Frazier,Paul,Watford,Crawford,Triche,Gabriel,Buckner,Mckie,Appling,Hardaway,Devyn,Newbill,Fuquan,Melvin,Cotton,Brogdon,Demps,Hollins,White,Hilliard,Pinkston,Henton,Harrison,Mickelson,Hanlan,Georges-Hunt,Paige,Hammons,Valentine,Ferrell,Dunham,Arcidiacono,Ware,Carrera,Noel,Chatkevicius,Cauley,Artis,Meeks,Blossomgame,Jok,Irvin,Garrett,Hart,Portis,Saiz,Kornet,Mickey,Kingsley,Colson,Berry,Tate,Haas,Garner,Trimble,Mcintosh,Mason,Booth,Delgado,Rodriguez,Carrington,Martin,Bluiett,Maten,Maye,Watsonjr,Happ,Cain,Govan,Brunson,Ogbeide,Nebo,Spencer,Alexander,Silva,Holman,Hall,Winston,Stevens,Diallo,Ponds,Baldwin,Powell,Bailey,Wiley,Mclemore,Garza,Gafford,Ado,Guy,Mcdermott,Kaminsky,Brewer,Jacobsen,Lofton,Roy,Simien,Fazekas,Dickau,Collison,Kaman,Gooden,Love,West,May,Blair,Morsell,Oden,Bogut,Beasley,Battier,Ford,Lawson,Wall,Morrison,Nelson,Wade,Griffin,Leonard}
@attribute 'Height in Inches' numeric
@attribute 1done {Yes,No}
@attribute 'Freshman Year' numeric
@attribute School {Duke,Texas,'Long Beach State',Kentucky,Arizona,LSU,California,Washington,Maryland,'George Washington','NC State',USC,UConn,Siena,Indiana,Memphis,'Ohio State',Clemson,Virginia,'Mississippi Valley State','Missouri State','Oral Roberts','Incarnate Word',UCLA,'Austin Peay','Morehead State','Saint Louis',Furman,Purdue,UNC,'Wake Forest','Ball State',Georgetown,'Notre Dame',Syracuse,Florida,'South Carolina',Tennessee,Illinois,Michigan,Villanova,'Boston College',Alabama,Arkansas,Northwestern,Pitt,'Virginia Tech','Seton Hall','Miami FL',Georgia,Auburn,'Georgia Tech',Wisconsin,Mercer,Rutgers,Providence,'Florida Atlantic',Iowa,'Michigan State','Iowa State',Jacksonville,'West Virginia',Vanderbilt,'Eastern Illinois','Florida State','Penn State','Mississippi State',Louisville,Marquette,Dayton,Cincinnati,'Eastern Kentucky','High Point','South Florida','Western Illinois',Bradley,'Ole Miss','Central Arkansas',UTEP,'Southern Miss',DePaul,Minnesota,'Texas A&amp;M-Corpus Christi','St. Johns NY',Nebraska,Butler,'Central Michigan',Xavier,Dartmouth,'Saint Francis PA',Creighton,Stanford,Kansas,Nevada,Utah,'Kansas State',Gonzaga,'St. Josephs',Oklahoma,Davidson,Marshall,'San Diego State'}
@attribute Conference {ACC,'Big 12','Big West',SEC,Pac-12,'Big Ten',A-10,AAC,MAAC,SWAC,MVC,Summit,Southland,OVC,Southern,MAC,'Big East',TAAC,A-Sun,'Sun Belt','Big South',WAC,CUSA,Ind,Ivy,NEC,Pac-10,MWC,WCC}
@attribute 'Games Played' numeric
@attribute 'Games Started' numeric
@attribute 'Minutes Played per Game' numeric
@attribute 'Field Goals per Game' numeric
@attribute 'Field Goals Attempted per Game' numeric
@attribute 'Field Goals \%' numeric
@attribute '2-Pointers per Game' numeric
@attribute '2-Pointers Attempted per Game' numeric
@attribute '2-Pointers \%' numeric
@attribute '3-Pointers per Game' numeric
@attribute '3-Pointers Attempted per game' numeric
@attribute '3-Pointer \%' numeric
@attribute 'Free Throws per Game' numeric
@attribute 'Free Throws Attempted per Game' numeric
@attribute 'Free Throw \%' numeric
@attribute 'Offensive Rebounds per Game' numeric
@attribute 'Defensive Rebounds per Game' numeric
@attribute 'Total Rebounds per game' numeric
@attribute 'Assists per Game' numeric
@attribute 'Steals per Game' numeric
@attribute 'Blocks per Game' numeric
@attribute 'Turnovers per Game' numeric
@attribute 'Fouls per Game' numeric
@attribute 'Points per Game' numeric
@attribute 'Strength of Season' numeric

@data
Matt,Gatens,77,No,2008,Iowa,'Big Ten',32,32,34,3.4,8.1,0.422,1.8,4,0.442,1.6,4,0.403,2.3,2.6,0.904,1,2.8,3.8,2.2,0.8,0.3,1.6,2.6,10.8,6.84
William,Buford,78,No,2008,'Ohio State','Big Ten',33,25,29.3,4.3,9.6,0.448,3,6,0.5,1.3,3.6,0.361,1.4,1.6,0.849,0.9,2.8,3.7,1.1,0.8,0.4,1.2,1.5,11.3,8.23
John,Shurna,81,No,2008,Northwestern,'Big Ten',31,31,18.5,2.7,5.7,0.466,1.8,3.3,0.553,0.8,2.4,0.347,1.1,1.5,0.745,1.1,1.9,3,1,0.5,0.6,1.2,1.2,7.3,6.93
Darryl,Bryant,74,No,2008,'West Virginia','Big East',35,28,25.6,3.2,8,0.396,1.9,4.5,0.411,1.3,3.5,0.377,2.2,2.9,0.76,0.4,1.5,1.8,2.7,0.5,0,2.1,2.2,9.8,8.34
Ashton,Gibbs,74,No,2008,Pitt,'Big East',35,0,10.7,1.4,3.3,0.427,0.4,1,0.4,1,2.3,0.439,0.5,0.6,0.8,0.2,0.5,0.7,0.9,0.1,0,0.6,0.8,4.3,8.61
Kemba,Walker,73,No,2008,UConn,'Big East',36,2,25.2,3.1,6.5,0.47,2.7,5.2,0.522,0.4,1.3,0.271,2.4,3.4,0.715,0.9,2.6,3.5,2.9,1.1,0.2,1.8,1.6,8.9,8.57
Kevin,Jones,73,No,2008,Bradley,MVC,1,0,1,0,0,?,0,0,?,0,0,?,0,0,?,0,0,0,0,0,0,0,0,0,1.92
Darius,Miller,80,No,2008,Kentucky,SEC,36,2,21.2,1.8,4.5,0.41,1.3,3,0.449,0.5,1.5,0.333,1.1,1.4,0.804,0.8,2.3,3.1,2,0.8,0.6,1.8,2.6,5.3,4.82
Terrance,Henry,81,No,2008,'Ole Miss',SEC,31,7,19,1.5,3.9,0.393,1.5,3.4,0.438,0.1,0.5,0.118,1.1,1.5,0.717,0.9,2.7,3.6,1.1,0.1,0.4,1.4,2.2,4.2,5.41
Trey,Thompkins,82,No,2008,Georgia,SEC,28,23,26,4.8,11,0.434,3.6,8,0.453,1.2,3.1,0.384,1.9,2.6,0.726,2.1,5.3,7.4,0.8,1,1.1,2.4,1.7,12.6,5.5
Storm,Warren,79,No,2008,LSU,SEC,30,0,7.5,0.7,1.6,0.429,0.7,1.6,0.429,0,0,?,0.6,1.3,0.487,0.7,1.1,1.8,0.2,0.4,0.5,0.3,1.1,2,3.27
Festus,Ezeli,83,No,2008,Vanderbilt,SEC,29,6,12.4,1.4,2.6,0.547,1.4,2.6,0.547,0,0,?,1,1.9,0.509,1,1.6,2.6,0,0.1,0.8,1.5,2,3.8,3.81
Jamychal,Green,80,No,2008,Alabama,SEC,32,31,24.8,3.9,7.3,0.538,3.9,7.3,0.541,0,0,0,2.4,3.3,0.71,3.4,4.1,7.6,0.8,0.9,1.6,2.1,3.1,10.3,3.99
Michael,Snaer,77,No,2009,'Florida State',ACC,31,10,23.7,3.1,7.2,0.435,2.4,5.1,0.465,0.7,2.1,0.359,1.8,2.7,0.663,0.7,1.9,2.6,1.3,0.5,0.2,2.5,1.8,8.8,6.79
Mason,Plumlee,82,No,2009,Duke,ACC,34,1,14.1,1.4,3.1,0.462,1.4,2.9,0.48,0.1,0.2,0.25,0.7,1.4,0.543,1.1,1.9,3.1,0.9,0.5,0.9,0.9,2.1,3.7,9.21
Durand,Scott,77,No,2009,'Miami FL',ACC,33,28,27.8,3.8,8.4,0.455,3.3,6.6,0.502,0.5,1.8,0.276,2.2,3.2,0.67,0.9,3.1,4,3.4,1.2,0.2,2.2,2.1,10.3,7.01
Erick,Green,75,No,2009,'Virginia Tech',ACC,34,1,12.4,0.9,2.9,0.293,0.5,1.7,0.305,0.3,1.2,0.275,0.6,0.8,0.679,0.2,0.7,0.9,0.9,0.5,0.2,0.7,1.1,2.6,5.13
Tim,Frazier,73,No,2009,'Penn State','Big Ten',31,10,18.4,1.6,4.2,0.389,1.4,3.5,0.393,0.3,0.8,0.375,1.4,2.1,0.672,0.3,2,2.3,2.4,0.7,0.1,1.7,2.1,5,6.32
Brandon,Paul,76,No,2009,Illinois,'Big Ten',36,14,18.9,2.6,7.8,0.333,1.6,4.2,0.38,1,3.6,0.279,1.6,2.5,0.644,1.2,1.9,3.1,1.3,0.8,0.1,1.3,1.7,7.8,9.58
Christian,Watford,81,No,2009,Indiana,'Big Ten',31,31,28.5,3.9,10.3,0.375,3.4,8.8,0.385,0.5,1.5,0.319,3.7,4.7,0.8,1.9,4.1,6,0.6,0.5,0.6,2.3,2.2,12,9.37
Drew,Crawford,77,No,2009,Northwestern,'Big Ten',34,34,27.3,3.5,7.8,0.447,2,3.4,0.581,1.5,4.4,0.342,1.5,2.4,0.642,1.7,2.6,4.3,1.8,0.6,0.7,1.5,3.1,10,4.99
Brandon,Triche,76,No,2009,Syracuse,'Big East',35,34,21.3,2.9,5.7,0.5,1.9,3.4,0.567,0.9,2.3,0.4,1.5,2.3,0.634,0.7,1.1,1.8,2.8,0.9,0.1,2,1.3,8.1,7.21
Darius,Johnson,74,No,2009,Marquette,'Big East',34,22,29.7,4.5,9.8,0.455,2.3,5.3,0.439,2.1,4.5,0.474,1.9,2.8,0.677,0.5,2.2,2.6,2.4,0.9,0.2,2,2.3,13,8.23
Kenny,Gabriel,80,No,2009,Auburn,SEC,21,0,7.8,1,2.7,0.393,0.5,1,0.55,0.5,1.7,0.306,0.2,0.3,0.667,0.2,1.1,1.4,0.1,0.1,0.3,0.4,0.9,2.8,4.68
Reginald,Buckner,81,No,2009,'Ole Miss',SEC,31,8,17.3,1.5,2.7,0.578,1.5,2.6,0.58,0,0.1,0.5,1,2,0.492,1.5,2.9,4.5,0.2,0.4,2.1,0.8,3,4.1,5.77
Travis,Mckie,79,No,2010,'Wake Forest',ACC,32,30,31.1,4.7,9.5,0.497,4.2,7.8,0.54,0.5,1.8,0.304,3.1,4.2,0.731,2.5,5.2,7.7,1,0.9,1,2,2.1,13,5.51
Joe,Harris,78,Yes,2010,'Central Arkansas',Southland,15,1,10.1,1.3,2.8,0.452,0.7,1.2,0.556,0.6,1.6,0.375,0,0.3,0,0.6,1,1.6,0.3,0.2,0,0.4,0.7,3.1,-4.83
Keith,Appling,73,No,2010,'Michigan State','Big Ten',34,19,22.9,2.1,4.9,0.436,1,2.1,0.471,1.1,2.8,0.411,1,1.1,0.895,0.6,2.3,2.8,1.3,0.6,0.5,1.6,2.2,6.4,11.67
Tim,Hardaway,72,No,1985,UTEP,WAC,28,?,15.5,1.3,2.5,0.521,?,?,?,?,?,?,1.5,2.3,0.651,?,?,1.3,1.9,0.9,0.1,1,1.8,4.1,0.6
Deshaun,Thomas,79,No,2010,'Ohio State','Big Ten',37,1,14,2.8,5.9,0.479,2.3,4.2,0.542,0.6,1.7,0.328,1.3,1.6,0.797,1.7,1.9,3.5,0.5,0.4,0.2,0.8,1.1,7.5,8.38
Roy,Devyn,78,No,2010,Iowa,'Big Ten',31,6,19.1,2.1,5.6,0.379,1.8,4.3,0.414,0.4,1.3,0.268,1.1,2.1,0.53,0.6,1.8,2.4,1.3,0.7,0.1,1.1,1.3,5.7,8.79
Dj,Newbill,76,No,2010,'Southern Miss',CUSA,32,32,30.5,3.1,5.8,0.535,2.9,5.4,0.543,0.2,0.4,0.429,2.7,3.9,0.69,3,3.2,6.2,1.6,0.8,0.1,1.9,2.8,9.2,1.9
Edwin,Fuquan,78,No,2010,'Seton Hall','Big East',31,26,24.7,3,7.3,0.41,2.2,4.9,0.457,0.8,2.5,0.316,1.1,1.7,0.648,0.7,2.5,3.3,0.9,1.2,0.4,0.9,2.8,7.9,9.32
Cleveland,Melvin,80,No,2010,DePaul,'Big East',27,18,26.2,6,11.6,0.522,6,11.5,0.524,0,0,0,2.2,3.3,0.667,2.2,2.7,5,0.7,1,1.5,1.5,2,14.3,7.53
Brandon,Young,76,No,2010,DePaul,'Big East',31,30,30.4,4.5,10.5,0.431,3.4,7.1,0.48,1.1,3.4,0.327,2.5,3.5,0.709,0.4,2,2.4,3.7,1.1,0.1,3,1.7,12.6,7.53
Bryce,Cotton,73,No,2010,Providence,'Big East',31,1,15.3,1.3,3.4,0.387,0.9,1.7,0.519,0.5,1.7,0.259,0.9,1.2,0.784,0.5,1.1,1.5,0.5,0.7,0,0.3,0.5,4,6.44
Marcus,Thornton,76,No,2007,LSU,SEC,31,30,33.6,6.8,15.7,0.436,3.9,8,0.494,2.9,7.7,0.377,3,3.7,0.817,2,3.6,5.6,1.4,1.4,0.3,2.2,2,19.6,5.66
Donte,Williams,81,No,2010,Georgia,SEC,30,0,6,0.2,0.9,0.269,0.2,0.9,0.269,0,0,?,0.3,0.7,0.429,0.4,0.8,1.2,0.4,0,0.3,0.2,1,0.8,6.13
Terrence,Jones,81,No,2010,Kentucky,SEC,38,35,31.5,5.4,12.3,0.442,4.7,10.2,0.465,0.7,2.1,0.329,4.1,6.4,0.646,2.4,6.4,8.8,1.6,1.1,1.9,2,2.4,15.7,8.91
Patric,Young,81,No,2010,Florida,SEC,37,2,17.8,1.4,2.4,0.556,1.4,2.4,0.556,0,0,?,0.7,1,0.703,1.3,2.5,3.8,0.3,0.6,0.8,0.7,2,3.4,7.57
Quinn,Cook,74,No,2011,Duke,ACC,33,4,11.7,1.4,3.5,0.405,1,1.8,0.55,0.4,1.7,0.25,1.2,1.5,0.776,0.2,0.8,1,1.9,0.4,0.1,0.5,0.8,4.4,8.4
Malcolm,Brogdon,77,No,2011,Virginia,ACC,28,1,22.4,2.3,5.7,0.396,1.5,3.3,0.451,0.8,2.4,0.324,1.4,1.8,0.8,0.5,2.3,2.8,1.4,0.5,0.1,1.6,1.4,6.7,4.23
Tre,Demps,75,No,2011,Northwestern,'Big Ten',4,1,14.3,0.8,4.3,0.176,0.3,2.3,0.111,0.5,2,0.25,0.3,1.3,0.2,0,1.3,1.3,1.3,0.3,0,0.5,0,2.3,7.84
Andre,Hollins,74,No,2011,Minnesota,'Big Ten',37,21,21.1,2.6,6.7,0.393,1.4,3.5,0.405,1.2,3.1,0.379,2.3,2.5,0.904,0.3,1.8,2.1,1.8,0.9,0.1,2.1,2.2,8.7,7.89
Aaron,White,72,No,2011,'Texas A&amp;M-Corpus Christi',Ind,29,5,17.1,2.5,6.9,0.367,1.1,2.8,0.388,1.4,4.1,0.353,1.1,1.5,0.75,0.5,1.1,1.7,1.4,0.7,0,2,1.7,7.6,-5.25
Darrun,Hilliard,78,No,2011,Villanova,'Big East',29,9,18.1,1.6,4.3,0.373,0.9,1.9,0.481,0.7,2.5,0.292,0.8,1,0.767,0.4,2,2.4,1,0.4,0.3,0.8,1.8,4.8,7.64
Jayvaughn,Pinkston,79,No,2011,Villanova,'Big East',32,21,25.9,3,7.4,0.408,2.6,6.2,0.416,0.5,1.3,0.366,3.1,4.6,0.669,1.9,3.2,5.2,1.1,0.6,0.4,2.6,2.9,9.6,7.64
Ladontae,Henton,78,No,2011,Providence,'Big East',32,32,37.2,5.3,11.6,0.454,3.9,8.1,0.481,1.4,3.5,0.393,2.4,3.4,0.706,2.8,5.8,8.6,1.1,1,1.1,1.7,2.4,14.3,4.56
Dangelo,Harrison,76,No,2011,'St. Johns NY','Big East',32,29,35.3,4.9,13.2,0.375,2.6,6.7,0.383,2.4,6.5,0.367,4.8,5.9,0.804,1.3,2.6,3.9,2.1,1.6,0.3,2.2,2.9,17,6.98
Hunter,Mickelson,82,No,2011,Arkansas,SEC,32,5,16.7,2.3,5,0.459,2.3,4.8,0.465,0,0.1,0.25,0.5,1,0.516,1.3,2.2,3.5,0.4,0.5,2.2,1,2.3,5.1,3.63
Aaron,Jones,81,No,2011,'Ole Miss',SEC,28,0,8.4,0.6,1.1,0.516,0.6,1,0.593,0,0.1,0,0.3,0.4,0.7,0.8,1.1,1.9,0.1,0.2,0.7,0.3,1,1.4,5.79
Anthony,Davis,74,Yes,2011,'Austin Peay',OVC,32,24,25.8,4.2,9.9,0.418,2.8,6.1,0.467,1.3,3.8,0.341,1.6,2.4,0.654,1.3,2.1,3.3,1.6,1.5,0.3,1.9,2.3,11.2,-1.01
Tj,Warren,80,No,2012,'NC State',ACC,35,14,27,5.3,8.5,0.622,4.9,7.8,0.632,0.4,0.8,0.519,1.1,2.1,0.542,2.1,2.1,4.2,0.8,1.2,0.4,1,2.2,12.1,7.17
Devin,Thomas,81,No,2012,'Wake Forest',ACC,31,31,27.3,3.4,6.9,0.498,3.4,6.9,0.498,0,0,?,2.3,4.1,0.551,2.5,5,7.5,1.3,1,1.4,2.5,2.1,9.1,6.15
Olivier,Hanlan,76,No,2012,'Boston College',ACC,33,33,34.2,5.1,11,0.459,3.5,7.2,0.494,1.5,3.8,0.394,3.8,5.1,0.75,0.8,3.4,4.2,2.3,1.2,0.1,2.2,2,15.5,7.03
Marcus,Georges-Hunt,77,No,2012,'Georgia Tech',ACC,31,30,28.9,4,9.3,0.426,2.9,6.2,0.472,1,3.1,0.333,1.8,2.9,0.629,1.8,3,4.9,1.5,0.8,0.1,1.1,2.1,10.8,4.67
Marcus,Paige,73,No,2012,UNC,ACC,35,34,29.2,2.7,7.6,0.356,1.4,3.9,0.368,1.3,3.7,0.344,1.5,1.7,0.836,0.2,2.5,2.7,4.6,1.4,0.1,2.5,1.7,8.2,8.01
Brice,Johnson,81,No,2012,UNC,ACC,36,2,10.6,2.5,4.9,0.511,2.5,4.9,0.511,0,0,?,0.4,0.7,0.577,0.9,2.3,3.2,0.3,0.5,0.5,0.5,1.6,5.4,8.01
Aj,Hammons,84,No,2012,Purdue,'Big Ten',34,27,23.1,4.1,8.3,0.495,4.1,8.3,0.495,0,0,?,2.3,3.4,0.681,2.4,3.6,6,0.6,0.3,2,1.6,2,10.6,7.87
Shavon,Shields,79,No,2012,Nebraska,'Big Ten',28,19,28.7,3.2,6.8,0.471,2.7,5.4,0.5,0.5,1.4,0.359,1.7,2.5,0.676,1.2,3.9,5.1,0.9,0.8,0.3,1.7,3.1,8.6,9.59
Denzel,Valentine,77,No,2012,'Michigan State','Big Ten',36,15,20.8,1.9,4.3,0.445,1.5,2.7,0.541,0.4,1.6,0.281,0.7,1.1,0.667,1.1,3.1,4.1,2.4,0.8,0.3,2,1.9,5,10.55
Kevin,Ferrell,72,No,2012,Indiana,'Big Ten',36,36,28.1,2.5,6.3,0.403,1.9,4.2,0.453,0.6,2.1,0.303,1.9,2.3,0.798,0.3,2.4,2.8,4.1,0.8,0.2,2.1,1.7,7.6,8.38
Kellen,Dunham,78,No,2012,Butler,A-10,36,13,26.1,2.7,7.2,0.375,1.1,2.6,0.426,1.6,4.6,0.345,2.5,2.9,0.867,0.6,2.2,2.8,1.1,0.6,0.1,1,1.2,9.5,6.08
Ryan,Arcidiacono,75,No,2012,Villanova,'Big East',34,34,34,3.1,9.1,0.343,1,2.7,0.38,2.1,6.4,0.327,3.6,4.4,0.824,0.2,1.9,2.1,3.5,1.1,0,2.8,2.5,11.9,8.53
Dvauntes,Smith,75,No,2012,Georgetown,'Big East',32,0,25.5,2.9,7.2,0.404,1.7,3.6,0.474,1.2,3.6,0.336,1.8,2.6,0.711,0.8,2.2,3,1.4,0.8,0,1.2,0.9,8.9,7.59
Gavin,Ware,81,No,2012,'Mississippi State',SEC,32,27,25.8,3.4,6.3,0.542,3.4,6.3,0.542,0,0,?,1.6,2.8,0.562,2.2,4.3,6.4,0.3,0.5,0.8,1.3,2,8.4,4.34
Michael,Carrera,77,No,2012,'South Carolina',SEC,27,22,21.1,3.3,7.4,0.443,3,6.7,0.453,0.3,0.7,0.35,3.1,4.1,0.741,3,4.3,7.2,0.6,0.3,0.6,1.9,3.1,9.9,2.11
Nerlens,Noel,82,Yes,2012,Kentucky,SEC,24,24,31.9,4.1,6.9,0.59,4.1,6.9,0.59,0,0,?,2.3,4.3,0.529,2.7,6.8,9.5,1.6,2.1,4.4,1.9,2.6,10.5,5.78
Asauhn,Dixon,84,No,2012,Auburn,SEC,32,1,14,1.4,3.1,0.46,1.4,3.1,0.46,0,0,?,0.8,1.3,0.659,1.6,1.7,3.3,0.2,0.4,1.4,0.7,2,3.7,4.18
Laimonas,Chatkevicius,83,No,2012,'South Carolina',SEC,23,10,13.2,1.7,3.7,0.447,1.5,3.3,0.467,0.1,0.4,0.3,1,1.6,0.611,1.2,2,3.2,0.5,0.1,0.6,1.4,1.8,4.4,2.11
Armani,Moore,77,No,2012,Tennessee,SEC,30,16,13.3,1,2.7,0.375,0.9,2.2,0.4,0.1,0.5,0.267,0.3,0.5,0.5,0.6,1.9,2.6,0.7,0.6,0.6,1,1.6,2.4,6.03
Willie,Cauley,84,No,2012,Kentucky,SEC,29,14,23.6,3.6,5.8,0.621,3.6,5.8,0.621,0,0,?,1.1,3,0.372,2.3,3.9,6.2,0.9,0.8,2.1,1.7,2.4,8.3,5.78
Jamel,Artis,79,No,2013,Pitt,ACC,36,0,15.4,1.6,3.5,0.46,1.4,2.8,0.505,0.2,0.8,0.296,1.4,2,0.708,1.1,1.9,2.9,0.6,0.2,0.3,0.8,1.5,4.9,7.54
Kennedy,Meeks,81,No,2013,UNC,ACC,34,17,16.3,3,5.5,0.548,3,5.5,0.548,0,0,?,1.5,2.6,0.586,2.4,3.7,6.1,0.8,0.3,0.8,1,1.7,7.6,8.42
Jaron,Blossomgame,79,No,2013,Clemson,ACC,33,30,23.5,1.9,4.8,0.395,1.6,3.2,0.486,0.3,1.5,0.2,0.8,1.4,0.596,1.6,3.4,5,0.4,0.3,0.4,0.8,1.5,4.9,5.97
Peter,Jok,78,No,2013,Iowa,'Big Ten',27,0,9.4,1.4,3.5,0.4,0.8,1.8,0.449,0.6,1.7,0.348,1,1.3,0.794,0.2,0.7,0.9,0.7,0.3,0.1,0.5,0.7,4.4,7.43
Zak,Irvin,78,No,2013,Michigan,'Big Ten',37,0,15.4,2.3,5.3,0.434,0.6,1.4,0.46,1.7,3.9,0.425,0.4,0.6,0.714,0.4,0.9,1.3,0.4,0.2,0.1,0.4,0.9,6.7,9.65
Malcolm,Hill,78,No,2013,Illinois,'Big Ten',35,12,14.1,1.3,3.4,0.383,0.9,2.2,0.408,0.4,1.3,0.341,1.3,1.7,0.77,0.6,1.8,2.4,0.7,0.3,0.1,0.9,1,4.4,8.28
Nigel,Hayes,80,No,2013,Wisconsin,'Big Ten',38,0,17.4,2.6,5.1,0.51,2.6,5.1,0.51,0,0,?,2.5,4.3,0.585,0.9,1.9,2.8,0.9,0.8,0.5,1.2,2.6,7.7,10.19
Billy,Garrett,78,No,2013,DePaul,'Big East',31,25,29.4,3.5,9.4,0.366,2.3,5.7,0.398,1.2,3.7,0.319,4.3,5.2,0.825,0.4,2,2.4,3,0.9,0.1,2.2,3,12.4,7.46
Josh,Hart,77,No,2013,Villanova,'Big East',34,1,21.4,2.6,5.1,0.5,1.8,2.7,0.67,0.8,2.4,0.313,1.9,2.8,0.677,1.8,2.6,4.4,0.9,0.6,0.3,0.6,2.4,7.8,7.5
Bobby,Portis,83,No,2013,Arkansas,SEC,34,34,27,4.7,9.3,0.509,4.5,8.3,0.537,0.3,1,0.273,2.6,3.5,0.737,2.5,4.2,6.8,1.5,1,1.6,1.2,1.7,12.3,5.57
Sebastian,Saiz,81,No,2013,'Ole Miss',SEC,33,13,19.9,1.9,4.2,0.467,1.9,4.2,0.467,0,0,?,1.2,1.8,0.656,2.3,3.3,5.6,0.4,0.7,0.8,1,2.5,5.1,5.36
