id,fname,lname,ht,_done,f_yr,school,conf,g,gs,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg2_per_g,fg2a_per_g,fg2_pct,fg3_per_g,fg3a_per_g,fg3_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,sos-dum,sos
Shelden Williams,Shelden,Williams,"6'9""",No,2002-03,Duke,ACC,33,23,19.2,2.9,5.6,0.516,2.9,5.5,0.519,0,0,0,2.4,3.8,0.645,2.5,3.4,5.9,0.5,0.7,1.6,1.8,3.1,8.2,,8.38
Jeff Horner,Jeff,Horner,"6'3""",No,,Iowa,Big Ten,31,31,35.4,2.5,7.7,0.332,1.2,2.9,0.422,1.3,4.8,0.277,1.8,2.4,0.767,0.7,3.7,4.4,4.5,1.3,0.2,2.5,2.1,8.2,,5.83
Greg Brunner,Greg,Brunner,"6'7""",No,,Iowa,Big Ten,31,23,24.4,2.9,5.6,0.526,2.7,4.5,0.596,0.2,1,0.219,1.5,2.5,0.584,1.8,3.5,5.2,1.5,0.7,0.6,1.7,2.5,7.5,,5.83
Maurice Ager,Maurice,Ager,"6'5""",No,,Michigan State,Big Ten,27,4,17.1,2.2,5.6,0.4,1.1,2.9,0.403,1.1,2.7,0.397,1.1,1.5,0.775,0.4,1.9,2.3,0.6,0.2,0.4,0.9,1.7,6.7,,9.71
Adam Haluska,Adam,Haluska,"6'5""",No,,Iowa State,Big 12,31,31,28.6,3.3,8.4,0.398,2,4.5,0.45,1.3,3.8,0.336,1.2,1.6,0.76,0.7,2.9,3.6,1,0.7,0.4,1.3,2.7,9.2,,6.05
Daniel Horton,Daniel,Horton,"6'3""",No,,Michigan,Big Ten,30,30,36.1,5,13.5,0.372,2.6,6.3,0.405,2.5,7.2,0.343,2.7,3.5,0.764,0.5,1.8,2.3,4.5,1.4,0.4,3.7,2.6,15.2,,7.88
Paul Davis,Paul,Davis,"6'11""",No,,Michigan State,Big Ten,35,5,17.8,2.5,5.7,0.438,2.5,5.6,0.446,0,0.2,0.167,2.8,4.2,0.66,1.1,3.6,4.7,0.4,0.9,0.5,1.5,2.1,7.8,,9.71
Dee Brown,Dee,Brown,"6'1""",No,,Jacksonville,Sun Belt,21,,8.9,1.3,3.1,0.431,1.2,2.5,0.491,0.1,0.6,0.167,0.6,1,0.591,,,1.3,0.8,0.5,0,0.5,0.5,3.4,,1.96
Alando Tucker,Alando,Tucker,"6'6""",No,2002-03,Wisconsin,Big Ten,32,27,31.8,4.3,8.2,0.533,3.8,6.3,0.596,0.6,1.8,0.31,2.8,4.1,0.685,2.7,3.2,5.9,1.1,0.9,0.3,1.3,2.4,12,,6.51
Brandon Bowman,Brandon,Bowman,"6'9""",No,,Georgetown,Big East,34,34,23.9,2.8,7.3,0.383,2.5,5.7,0.44,0.3,1.6,0.182,1.7,2.3,0.74,1.4,3.1,4.5,1.5,1.1,0.4,2.1,2.4,7.6,,6.27
Carl Krauser,Carl,Krauser,"6'2""",No,,Pitt,Big East,32,1,18.6,1.9,4.3,0.441,1.2,2.6,0.476,0.7,1.7,0.389,1.6,2.2,0.729,0.4,2.4,2.8,2.9,1.1,0,2,2.1,6,,5.79
Curtis Sumpter,Curtis,Sumpter,"6'7""",No,,Villanova,Big East,31,5,19,2.4,5.5,0.433,2.1,4.3,0.489,0.3,1.2,0.237,1.2,1.6,0.72,1.5,2.6,4.1,0.4,0.5,0.5,1.4,2.2,6.2,,7.56
Kevin Pittsnogle,Kevin,Pittsnogle,"6'11""",No,,West Virginia,Big East,29,29,26.6,4.3,8.7,0.498,2.7,5.2,0.513,1.7,3.6,0.476,1.2,1.7,0.7,1.4,3.3,4.8,1.1,0.8,1.3,1.7,2,11.6,,6.84
Craig Smith,Craig,Smith,"6'7""",No,,Boston College,Big East,31,28,31.9,7.8,12.9,0.603,7.7,12.4,0.618,0.1,0.5,0.2,4.3,6.3,0.68,3.2,4.7,7.9,1.3,0.9,0.9,2.4,3.4,19.9,,7.23
Randy Foye,Randy,Foye,"6'4""",No,2002-03,Villanova,Big East,31,29,26.8,3.5,9.8,0.362,2.6,6.7,0.389,0.9,3.1,0.302,2.2,2.7,0.831,0.9,2.6,3.5,2.9,1,0.2,3.5,3.3,10.3,,7.56
Allan Ray,Allan,Ray,"6'2""",No,,Villanova,Big East,31,5,25.3,3.2,8.7,0.37,2,4.6,0.434,1.2,4.1,0.299,2.3,3,0.761,0.9,1.7,2.5,1.5,1,0.1,2.3,2.4,9.9,,7.56
Gerry Mcnamara,Gerry,Mcnamara,"6'2""",No,,Syracuse,Big East,35,35,35.3,4.2,10.4,0.401,1.7,3.6,0.484,2.4,6.8,0.357,2.6,2.8,0.909,0.4,1.9,2.3,4.4,2.2,0.1,2.4,2,13.3,,9.02
Julian Terrell,Julian,Terrell,"6'9""",No,,Vanderbilt,SEC,29,8,14.7,1.7,3.5,0.485,1.7,3.5,0.485,0,0,,1,2,0.483,1,2.9,3.9,0.2,0.9,0.8,1.6,2.2,4.3,,9.36
Chuck Davis,Chuck,Davis,"6'3""",No,,Alabama,SEC,13,0,6.6,0.6,1.7,0.364,0.5,1.5,0.35,0.1,0.2,0.5,0.2,0.8,0.2,0.5,0.8,1.3,0.2,0,0.2,0.7,1.2,1.5,,9.4
Jr Reynolds,Jr,Reynolds,"6'4""",No,,Eastern Illinois,OVC,28,13,21.7,3.1,7.6,0.404,1.3,2.7,0.461,1.8,4.9,0.372,1.8,2.6,0.685,1,1.8,2.8,1.6,0.6,0,1.3,1.3,9.8,,-1.71
Al Thornton,Al,Thornton,"6'8""",No,,Florida State,ACC,30,0,7.9,1,1.9,0.517,0.9,1.7,0.529,0.1,0.2,0.429,0.7,1.4,0.5,0.6,1.2,1.8,0.2,0.2,0.2,0.5,1.4,2.8,,8.3
Dion Harris,Dion,Harris,"6'3""",No,,Michigan,Big Ten,34,11,28.1,3.3,8.4,0.393,1.6,3.4,0.47,1.7,5,0.341,1.8,2.3,0.772,0.6,1.6,2.2,2.2,1,0.1,1.9,2.1,10.1,,6.16
Quincy Douby,Quincy,Douby,"6'3""",No,,Rutgers,Big East,33,5,25.4,4.1,9.7,0.425,2,4.8,0.424,2.1,4.9,0.426,2.2,2.6,0.826,0.7,1.2,1.9,1.7,0.8,0.4,1.9,1.6,12.5,,6.87
Brandon Bass,Brandon,Bass,"6'8""",No,2003-04,LSU,SEC,29,29,34.9,4.2,8.3,0.504,4,7.6,0.525,0.2,0.7,0.263,4.2,5.4,0.783,2.4,4.9,7.4,0.6,0.7,1.9,1.9,2,12.8,,6.59
Renaldo Balkman,Renaldo,Balkman,"6'8""",No,2003-04,South Carolina,SEC,33,8,18.2,2.8,4.9,0.558,2.6,4.2,0.612,0.2,0.7,0.25,1.2,2.4,0.519,2.4,2.2,4.6,1.4,1,1.3,1.8,2.2,6.9,,5.33
Jermareo Davidson,Jermareo,Davidson,"6'10""",No,,Alabama,SEC,33,28,23.2,2,4.3,0.472,2,4.3,0.472,0,0,,0.9,1.6,0.577,1.6,2.7,4.3,0.5,0.2,1.4,1.1,2.1,5,,10.2
Brandon Wallace,Brandon,Wallace,"6'10""",No,,South Carolina,SEC,34,4,13.4,1.4,3.6,0.385,1.1,2.5,0.44,0.3,1.1,0.263,0.6,1.1,0.583,1,2.3,3.4,0.8,0.6,1.1,0.4,1.4,3.7,,5.33
James Gist,James,Gist,"6'9""",No,,Maryland,ACC,31,2,17.2,2.3,4.7,0.493,2.3,4.7,0.497,0,0,0,1.5,2.5,0.618,1.3,2.7,3.9,0.5,0.8,1,1.3,1.8,6.2,,7.89
Cliff Hammonds,Cliff,Hammonds,"6'3""",No,,Clemson,ACC,32,31,30.3,3.7,8.5,0.432,1.8,3.3,0.542,1.9,5.2,0.361,1.3,2,0.646,0.8,2.8,3.6,2.8,1.3,0.2,2,2.1,10.6,,8.86
